"User ID";"Age Group";"Gender";"Country";"Device Type";"Subscription Plan";"Preferred Watch Time";"Top Watched Language";"Average Daily Watch Minutes";"Number of Titles Watched";"Average Episode Length (minutes)";"Account Age (Months)";"Days Since Last Login";"Average Completion Rate (%)";"Number of Rewatches";"Preferred Genre (Target Variable)"
2058;"45-54";"Female";"USA";"TV";"Basic";"Afternoon";"German";94;42;33;14;16;67.11;2;"Drama"
2059;"55+";"Non-binary";"Canada";"Mobile";"Premium";"Afternoon";"German";276;11;32;8;4;70.76;1;"Thriller"
2060;"45-54";"Female";"Canada";"TV";"Basic";"Morning";"Japanese";57;24;33;7;14;87.86;3;"Thriller"
2061;"25-34";"Male";"Australia";"Mobile";"Premium";"Evening";"Hindi";92;30;58;5;19;66.46;5;"Action"
2062;"13-17";"Non-binary";"Germany";"Tablet";"Basic";"Evening";"Spanish";151;87;57;1;;68.64;4;"Action"
2063;"55+";"Female";"UK";"TV";;"Morning";"German";160;68;46;10;24;70.66;4;"Thriller"
2064;"13-17";"Male";"UK";"Mobile";"Premium";"Evening";"Spanish";149;113;54;58;11;70.3;7;"Action"
2065;"55+";"Non-binary";"UK";"Tablet";"Standard";"Evening";"Spanish";114;91;31;65;3;77.73;2;"Drama"
2066;"45-54";"Male";"Germany";"TV";"Premium";"Morning";"English";100;127;42;60;14;76.5;1;"Thriller"
2067;"18-24";"Female";"USA";"TV";"Basic";"Morning";"French";217;122;45;20;2;94.36;6;"Comedy"
2068;"13-17";"Non-binary";"UK";"TV";"Premium";"Afternoon";"Spanish";47;48;29;58;13;83.86;7;"Action"
2069;"13-17";"Non-binary";"Australia";"TV";"Basic";"Morning";"Japanese";51;29;31;43;3;71.66;7;"Comedy"
2070;"45-54";"Female";"Australia";"Laptop";"Premium";"Afternoon";"Hindi";218;10;36;29;18;61.29;1;"Drama"
2071;"13-17";"Male";"USA";"Tablet";"Premium";"Afternoon";"Hindi";233;82;41;2;5;87.8;6;"Action"
2072;"25-34";"Female";"Germany";"Laptop";"Premium";"Night";"English";80;18;48;26;16;67.35;4;"Action"
2073;"45-54";"Non-binary";"UK";"Tablet";"Standard";"Evening";"Japanese";189;60;43;59;17;61.28;3;"Thriller"
2074;"13-17";"Non-binary";"India";"Tablet";"Premium";"Morning";"French";166;24;40;1;7;68.02;3;"Action"
2075;"13-17";"Female";"India";"Tablet";"Premium";"Evening";"Japanese";176;93;49;31;18;76.15;3;"Action"
2076;"13-17";"Male";"Canada";"Mobile";"Standard";"Night";"Hindi";117;50;51;38;19;88.47;5;"Action"
2077;"45-54";"Female";"USA";"Tablet";"Standard";"Morning";"Japanese";246;63;31;22;11;71.67;3;"Thriller"
2078;"18-24";"Male";"India";"TV";"Basic";"Morning";"French";178;128;32;66;16;95.81;9;"Comedy"
2079;"35-44";"Male";"Canada";"Laptop";"Basic";"Night";"German";180;26;39;47;18;78.17;7;"Action"
2080;"55+";"Non-binary";"Australia";"TV";"Premium";"Evening";"Spanish";223;137;40;1;0;77.76;3;"Thriller"
2081;"13-17";"Male";"Canada";"TV";"Basic";"Afternoon";"Spanish";195;101;32;50;10;84.94;4;"Comedy"
2082;"35-44";"Non-binary";"UK";"Laptop";"Premium";"Night";"Hindi";128;18;56;36;9;74.39;4;"Thriller"
2083;"35-44";"Male";"UK";"TV";"Standard";"Night";"Hindi";103;55;41;45;15;93.89;5;"Action"
2084;"13-17";"Male";"Australia";"Mobile";"Standard";"Morning";"French";268;143;46;36;4;92.68;3;"Action"
2085;"13-17";"Non-binary";"USA";"TV";"Premium";"Afternoon";"Japanese";103;25;56;34;16;76.3;3;"Comedy"
2086;"55+";"Male";"Germany";"TV";"Basic";"Night";"French";109;121;35;9;27;73.1;0;"Drama"
2087;"35-44";"Female";"UK";"Laptop";"Basic";"Evening";"English";94;96;30;4;8;76.94;2;"Drama"
2088;"18-24";"Male";"UK";"TV";"Basic";"Night";"Hindi";76;71;46;63;22;79.29;3;"Thriller"
2089;"35-44";"Non-binary";"Canada";"Laptop";"Premium";"Evening";"Hindi";200;113;38;4;26;71.55;2;"Drama"
2090;"18-24";"Non-binary";"Canada";"Tablet";"Basic";"Morning";"Hindi";64;129;52;5;7;71.9;8;"Comedy"
2091;"25-34";"Female";"Canada";"Tablet";"Standard";"Night";"French";153;143;36;10;24;66.81;2;"Thriller"
2092;"18-24";"Male";"India";"Mobile";"Standard";"Evening";"French";62;49;51;44;9;79.91;5;"Comedy"
2093;"55+";"Female";"Australia";"Laptop";"Standard";"Morning";"Japanese";227;67;25;40;7;75.29;0;"Drama"
2094;"45-54";"Male";"USA";"Laptop";"Standard";"Morning";"German";223;87;34;36;2;82.74;0;"Drama"
2095;"13-17";"Female";"Canada";"Laptop";"Standard";"Morning";"Hindi";230;120;57;35;22;76.15;5;"Action"
2096;"25-34";"Non-binary";"USA";"Mobile";"Standard";"Night";"German";175;108;40;59;22;73.74;0;"Drama"
2097;"35-44";"Non-binary";"Canada";"Mobile";"Standard";"Morning";"French";56;15;30;65;29;81.14;4;"Thriller"
2098;"18-24";"Female";"UK";"TV";"Standard";"Morning";"Japanese";134;32;49;31;22;83.42;5;"Action"
2099;"25-34";"Male";"USA";"Laptop";"Standard";"Evening";"French";129;71;44;46;11;91.91;4;"Action"
2100;"45-54";"Male";"India";"Mobile";"Premium";"Morning";"English";224;26;47;49;23;86.4;4;"Thriller"
2101;"18-24";"Non-binary";"Canada";"Tablet";"Premium";"Night";"Spanish";114;93;40;6;3;99.01;6;"Comedy"
2102;"55+";"Male";"Germany";"Tablet";"Standard";"Afternoon";"Spanish";101;121;25;70;26;75.45;0;"Drama"
2103;"35-44";"Female";"Australia";"Laptop";"Standard";"Morning";"French";261;113;54;19;21;93.18;6;"Action"
2104;"35-44";"Female";"UK";"Tablet";"Standard";"Night";"Spanish";50;134;51;42;17;81.27;4;"Thriller"
2105;"18-24";"Male";"Canada";"TV";"Basic";"Morning";"Spanish";234;37;26;30;22;94.12;6;"Comedy"
2106;"45-54";"Non-binary";"USA";"TV";"Premium";"Night";"Japanese";207;29;45;26;8;89.92;2;"Drama"
2107;"13-17";"Non-binary";"Canada";"Laptop";"Standard";"Morning";"Spanish";207;126;33;3;20;81.67;6;"Comedy"
2108;"13-17";"Non-binary";"UK";"Mobile";"Premium";"Evening";"Japanese";160;63;48;33;3;87.71;4;"Comedy"
2109;"35-44";"Non-binary";"Australia";"Mobile";"Standard";"Afternoon";"English";95;118;31;50;1;73.53;2;"Thriller"
2110;"45-54";"Non-binary";"Australia";"Mobile";"Basic";"Afternoon";"Hindi";92;73;54;31;6;69.77;4;"Thriller"
2111;"35-44";"Female";"Australia";"Mobile";"Standard";"Night";"Hindi";124;61;26;68;17;62.84;1;"Thriller"
2112;"13-17";"Male";"Germany";"Laptop";"Premium";"Night";"Hindi";266;52;36;10;1;91.72;8;"Comedy"
2113;"35-44";"Female";"UK";"TV";"Premium";"Afternoon";"Japanese";67;96;37;22;24;68.13;6;"Action"
2114;"18-24";"Non-binary";"Germany";"Laptop";"Premium";"Evening";"Japanese";125;27;27;63;1;85.48;4;"Action"
2115;"55+";"Non-binary";"Germany";"Laptop";"Premium";"Evening";"Japanese";209;93;42;54;9;85.15;2;"Drama"
2116;"18-24";"Male";"Canada";"Tablet";"Standard";"Morning";"English";154;63;30;51;2;71.56;3;"Comedy"
2117;"55+";"Male";"UK";"TV";"Basic";"Evening";"German";85;69;51;4;18;86.85;2;"Thriller"
2118;"45-54";"Male";"UK";"Mobile";"Basic";"Afternoon";"Japanese";57;132;39;37;1;63.41;2;"Drama"
2119;"13-17";"Female";"Canada";"TV";"Standard";"Afternoon";"Japanese";62;80;39;71;25;87.98;3;"Action"
2120;"45-54";"Male";"India";"Tablet";"Standard";"Evening";"Hindi";193;138;43;63;2;87.19;0;"Drama"
2121;"45-54";"Female";"Germany";"Laptop";"Premium";"Evening";"French";138;122;44;51;8;60.97;0;"Drama"
2122;"13-17";"Non-binary";"Australia";"TV";"Standard";"Afternoon";"Spanish";68;46;44;8;10;65.66;2;"Action"
2123;"25-34";"Female";"USA";"Tablet";"Basic";"Afternoon";"Spanish";91;58;42;1;10;70.1;3;"Thriller"
2124;"25-34";"Male";"Germany";"Laptop";"Standard";"Afternoon";"English";149;44;58;8;26;74.31;1;"Thriller"
2125;"35-44";"Female";"USA";"Mobile";"Standard";"Afternoon";"Spanish";242;114;59;55;2;78.65;2;"Thriller"
2126;"25-34";"Female";"Canada";"TV";"Basic";"Afternoon";"German";145;44;25;9;4;79.08;2;"Drama"
2127;"18-24";"Female";"USA";"Mobile";"Basic";"Evening";"Hindi";85;18;36;51;11;78.69;4;"Action"
2128;"55+";"Male";"India";"Mobile";"Standard";"Evening";"English";40;69;29;16;14;68.79;1;"Drama"
2129;"45-54";"Female";"UK";"Tablet";"Premium";"Morning";"Spanish";230;65;51;53;22;62.96;1;"Thriller"
2130;"35-44";"Male";"Australia";"Tablet";"Premium";"Morning";"Spanish";183;115;44;59;16;85.22;2;"Thriller"
2131;"45-54";"Female";"USA";"Laptop";"Premium";"Night";"French";64;120;43;45;15;69.33;1;"Drama"
2132;"13-17";"Female";"USA";"Mobile";"Basic";"Morning";"Hindi";101;98;39;37;29;81.55;4;"Comedy"
2133;"25-34";"Female";"Canada";"Tablet";"Basic";"Evening";"English";269;21;30;66;16;66.64;6;"Action"
2134;"13-17";"Male";"Canada";"Tablet";"Premium";"Morning";"Hindi";121;80;33;64;14;80.1;5;"Comedy"
2135;"35-44";"Male";"UK";"Mobile";"Standard";"Morning";"English";119;80;47;36;25;83.4;1;"Thriller"
2136;"55+";"Male";"Australia";"Laptop";"Standard";"Evening";"Spanish";250;128;34;50;12;71.01;2;"Drama"
2137;"18-24";"Non-binary";"USA";"Mobile";"Standard";"Afternoon";"Hindi";183;141;25;53;1;93.18;3;"Action"
2138;"25-34";"Male";"UK";"Laptop";"Basic";"Evening";"Hindi";236;104;35;57;16;84.14;2;"Thriller"
2139;"13-17";"Female";"Australia";"Laptop";"Basic";"Evening";"German";130;59;44;19;0;80.26;3;"Action"
2140;"55+";"Non-binary";"UK";"Tablet";"Premium";"Night";"French";275;112;52;26;29;70.6;2;"Thriller"
2141;"25-34";"Male";"USA";"Mobile";"Standard";"Night";"Hindi";237;32;46;68;29;93.1;6;"Action"
2142;"45-54";"Male";"Canada";"Mobile";"Basic";"Night";"English";160;99;44;43;9;81.82;4;"Thriller"
2143;"18-24";"Non-binary";"Canada";"Tablet";"Basic";"Afternoon";"German";201;102;40;58;3;84.01;5;"Comedy"
2144;"55+";"Non-binary";"Canada";"TV";"Premium";"Morning";"Hindi";247;17;26;59;9;67.33;3;"Thriller"
2145;"25-34";"Male";"India";"TV";"Standard";"Night";"Hindi";92;38;49;46;11;71.71;2;"Thriller"
2146;"18-24";"Non-binary";"UK";"Mobile";"Basic";"Evening";"German";190;62;51;68;27;71.95;9;"Comedy"
2147;"55+";"Female";"USA";"Tablet";"Basic";"Night";"Spanish";210;143;27;40;2;85.68;1;"Thriller"
2148;"45-54";"Female";"UK";"Laptop";"Basic";"Evening";"Hindi";83;33;47;13;0;75.94;2;"Thriller"
2149;"45-54";"Female";"Canada";"Laptop";"Basic";"Afternoon";"Japanese";71;129;56;9;18;84.14;4;"Thriller"
2150;"13-17";"Male";"Germany";"Mobile";"Standard";"Night";"French";274;133;41;66;0;69.75;7;"Action"
2151;"35-44";"Female";"Germany";"Tablet";"Premium";"Evening";"Spanish";62;61;44;53;18;75.61;4;"Thriller"
2152;"13-17";"Non-binary";"UK";"Mobile";"Standard";"Morning";"Hindi";187;79;54;4;3;76.81;3;"Action"
2153;"18-24";"Female";"Australia";"Mobile";"Premium";"Afternoon";"Spanish";58;13;52;14;26;70.89;6;"Action"
2154;"13-17";"Non-binary";"Germany";"Tablet";"Basic";"Evening";"English";260;125;47;8;12;74.9;5;"Action"
2155;"55+";"Female";"Germany";"Mobile";"Standard";"Morning";"Spanish";239;46;43;62;26;88.51;2;"Drama"
2156;"25-34";"Non-binary";"UK";"Laptop";"Premium";"Morning";"German";68;57;49;45;13;70.63;2;"Action"
2157;"55+";"Female";"India";"TV";"Premium";"Evening";"Hindi";185;131;48;67;13;67.63;0;"Drama"
2158;"13-17";"Female";"India";"Laptop";"Basic";"Night";"Spanish";108;48;25;62;23;97.91;4;"Comedy"
2159;"35-44";"Female";"Canada";"TV";"Premium";"Morning";"Japanese";179;101;52;70;2;78.52;0;"Drama"
2160;"55+";"Non-binary";"USA";"Tablet";"Premium";"Afternoon";"English";49;75;53;36;18;83.44;2;"Thriller"
2161;"55+";"Non-binary";"Australia";"Mobile";"Premium";"Morning";"English";150;22;59;1;28;66.72;1;"Drama"
2162;"55+";"Female";"USA";"TV";"Basic";"Night";"Spanish";76;69;41;60;24;62.18;4;"Thriller"
2163;"35-44";"Non-binary";"USA";"Tablet";"Standard";"Afternoon";"German";120;135;35;13;10;65.24;0;"Drama"
2164;"55+";"Non-binary";"Australia";"Tablet";"Basic";"Afternoon";"English";135;41;31;12;8;85.28;0;"Drama"
2165;"18-24";"Male";"India";"Tablet";"Premium";"Afternoon";"Spanish";94;142;50;17;5;95.15;8;"Comedy"
2166;"45-54";"Female";"Germany";"Laptop";"Premium";"Evening";"Spanish";171;75;47;47;25;68.78;2;"Thriller"
2167;"35-44";"Non-binary";"Canada";"Laptop";"Standard";"Morning";"English";262;87;42;53;3;78.11;4;"Action"
2168;"18-24";"Non-binary";"UK";"TV";"Premium";"Night";"Spanish";167;135;53;67;25;88.07;3;"Comedy"
2169;"35-44";"Non-binary";"India";"TV";"Standard";"Evening";"Spanish";102;38;58;10;4;63.96;1;"Thriller"
2170;"35-44";"Non-binary";"Canada";"Laptop";"Premium";"Evening";"French";257;79;32;46;28;62.91;3;"Thriller"
2171;"45-54";"Male";"Germany";"TV";"Premium";"Afternoon";"Japanese";51;145;45;4;8;70.9;0;"Drama"
2172;"25-34";"Non-binary";"India";"TV";"Basic";"Evening";"Spanish";185;64;45;57;0;66.42;1;"Drama"
2173;"18-24";"Non-binary";"Australia";"Mobile";"Basic";"Morning";"French";47;119;41;38;22;77.72;6;"Action"
2174;"35-44";"Male";"USA";"TV";"Standard";"Evening";"French";71;11;40;12;14;64.12;4;"Thriller"
2175;"35-44";"Female";"Australia";"Tablet";"Basic";"Evening";"Spanish";251;72;39;31;10;68.1;1;"Drama"
2176;"13-17";"Female";"Germany";"Mobile";"Standard";"Afternoon";"German";88;26;39;2;22;87.13;7;"Action"
2177;"55+";"Male";"UK";"TV";"Basic";"Afternoon";"English";143;68;41;1;25;63.07;1;"Thriller"
2178;"25-34";"Female";"Australia";"Mobile";"Standard";"Evening";"French";230;97;25;25;0;73.78;1;"Drama"
2179;"45-54";"Female";"Germany";"Tablet";"Premium";"Afternoon";"French";244;25;37;5;29;63.71;3;"Thriller"
2180;"18-24";"Male";"USA";"TV";"Standard";"Night";"German";226;67;34;48;16;92.76;4;"Comedy"
2181;"35-44";"Non-binary";"India";"Mobile";"Basic";"Night";"Hindi";126;59;57;14;14;66.83;1;"Thriller"
2182;"55+";"Male";"Canada";"TV";"Standard";"Night";"German";234;26;50;52;13;77.97;2;"Thriller"
2183;"18-24";"Male";"Germany";"Mobile";"Basic";"Evening";"Hindi";138;123;36;21;8;93.08;4;"Action"
2184;"45-54";"Male";"Germany";"Mobile";"Premium";"Morning";"Hindi";206;55;43;25;22;84.74;1;"Drama"
2185;"25-34";"Male";"UK";"Tablet";"Basic";"Morning";"German";89;115;39;67;3;79.33;4;"Thriller"
2186;"13-17";"Male";"India";"Tablet";"Premium";"Afternoon";"Japanese";252;136;29;50;8;92.07;3;"Comedy"
2187;"25-34";"Non-binary";"Germany";"TV";"Premium";"Morning";"German";238;59;26;33;27;81.78;2;"Action"
2188;"13-17";"Female";"Germany";"Laptop";"Basic";"Morning";"French";193;127;38;17;4;68.5;3;"Action"
2189;"18-24";"Male";"Canada";"TV";"Premium";"Evening";"English";190;77;53;70;2;93.06;4;"Comedy"
2190;"25-34";"Non-binary";"USA";"Mobile";"Basic";"Afternoon";"German";135;60;25;34;17;60.06;1;"Thriller"
2191;"25-34";"Male";"Australia";"Tablet";"Standard";"Morning";"Japanese";102;121;37;26;8;71.32;2;"Action"
2192;"25-34";"Non-binary";"India";"Tablet";"Premium";"Night";"German";233;73;56;42;3;79.62;7;"Action"
2193;"45-54";"Female";"Canada";"Mobile";"Standard";"Afternoon";"Japanese";206;68;58;31;6;89.17;2;"Drama"
2194;"18-24";"Non-binary";"Canada";"Laptop";"Standard";"Afternoon";"English";105;109;38;51;0;86.74;9;"Comedy"
2195;"13-17";"Non-binary";"Australia";"Tablet";"Basic";"Afternoon";"Spanish";142;35;39;36;15;76.23;5;"Comedy"
2196;"25-34";"Female";"India";"Laptop";"Basic";"Night";"Japanese";85;23;30;13;24;86.68;4;"Thriller"
2197;"18-24";"Female";"India";"Tablet";"Premium";"Morning";"Japanese";182;131;53;13;27;83.3;5;"Comedy"
2198;"55+";"Non-binary";"USA";"Mobile";"Basic";"Night";"French";55;18;43;32;24;73.52;1;"Drama"
2199;"45-54";"Male";"India";"TV";"Standard";"Afternoon";"Japanese";159;16;25;5;25;60.05;2;"Drama"
2200;"45-54";"Male";"Germany";"TV";"Standard";"Afternoon";"English";129;149;45;12;5;58.17;2;"Drama"
2201;"55+";"Female";"Australia";"Laptop";"Standard";"Evening";"Hindi";111;117;42;59;5;87.47;1;"Drama"
2202;"18-24";"Male";"India";"TV";"Premium";"Evening";"Japanese";55;145;51;41;13;98.18;9;"Comedy"
2203;"13-17";"Female";"USA";"Mobile";"Basic";"Evening";"English";124;100;52;37;21;73.06;8;"Comedy"
2204;"18-24";"Non-binary";"Canada";"TV";"Standard";"Evening";"French";78;133;32;68;4;96.88;4;"Comedy"
2205;"18-24";"Non-binary";"Germany";"Laptop";"Premium";"Afternoon";"French";178;10;55;48;10;90.74;3;"Comedy"
2206;"35-44";"Male";"India";"Mobile";"Basic";"Night";"Spanish";255;18;36;43;0;63.42;1;"Drama"
2207;"45-54";"Female";"Australia";"Mobile";"Basic";"Evening";"Japanese";75;120;30;41;19;68.27;1;"Thriller"
2208;"13-17";"Male";"India";"Tablet";"Standard";"Night";"Hindi";57;33;50;56;9;85.93;6;"Action"
2209;"35-44";"Male";"UK";"Tablet";"Premium";"Evening";"English";190;134;40;69;0;76.11;2;"Action"
2210;"55+";"Non-binary";"USA";"TV";"Standard";"Morning";"Spanish";116;45;54;11;20;75.5;3;"Thriller"
2211;"18-24";"Male";"Canada";"Laptop";"Standard";"Evening";"Hindi";88;13;43;9;28;95.16;4;"Comedy"
2212;"55+";"Non-binary";"UK";"Mobile";"Premium";"Night";"Spanish";275;96;42;28;3;71.19;3;"Thriller"
2213;"45-54";"Female";"Australia";"TV";"Standard";"Evening";"Hindi";209;17;48;22;7;61.55;1;"Drama"
2214;"35-44";"Male";"India";"TV";"Premium";"Morning";"German";142;100;44;6;0;80.97;1;"Thriller"
2215;"35-44";"Non-binary";"USA";"Tablet";"Premium";"Night";"German";275;48;31;26;7;73.29;7;"Action"
2216;"13-17";"Male";"Germany";"TV";"Standard";"Night";"German";83;67;31;16;13;80.21;7;"Action"
2217;"18-24";"Female";"India";"TV";"Standard";"Night";"Spanish";148;149;40;14;23;97.93;9;"Comedy"
2218;"13-17";"Male";"India";"Tablet";"Basic";"Afternoon";"German";168;13;38;35;16;88.47;9;"Comedy"
2219;"35-44";"Male";"India";"TV";"Basic";"Night";"English";46;34;36;42;8;61.98;4;"Thriller"
2220;"35-44";"Non-binary";"Germany";"TV";"Premium";"Afternoon";"English";87;76;53;53;28;77.58;2;"Thriller"
2221;"13-17";"Female";"India";"Mobile";"Premium";"Morning";"German";151;127;39;22;24;87.77;4;"Comedy"
2222;"35-44";"Female";"USA";"TV";"Premium";"Night";"Hindi";252;33;32;53;5;82.26;1;"Thriller"
2223;"25-34";"Female";"Germany";"Tablet";"Basic";"Night";"Hindi";183;15;33;66;0;63.87;4;"Thriller"
2224;"45-54";"Male";"Germany";"Tablet";"Standard";"Night";"Spanish";87;106;52;13;22;87.21;1;"Thriller"
2225;"18-24";"Non-binary";"UK";"Mobile";"Standard";"Morning";"Hindi";245;81;51;11;22;77.32;2;"Action"
2226;"45-54";"Male";"Australia";"Tablet";"Basic";"Afternoon";"Japanese";210;133;31;12;8;86.87;2;"Drama"
2227;"18-24";"Male";"Germany";"Tablet";"Standard";"Evening";"Hindi";90;11;38;53;0;85.34;9;"Comedy"
2228;"35-44";"Male";"UK";"Tablet";"Standard";"Morning";"English";146;47;35;9;13;60.17;2;"Drama"
